timestamp,well_id,css_cycle_id,oil_rate_bpd,water_rate_bpd,gas_rate_mmscfd,total_fluid_rate_bpd,water_cut_pct,bottomhole_pressure_bar,wellhead_pressure_bar,cumulative_oil_bbl,steam_consumption_ton,SOR,energy_consumption_kWh
2023-05-18,BGW-001,BGW-001-C2,189.3,49.2,0.0979,238.5,20.6,70.8,60.0,7299.8,20.96,0.111,332.3
2023-05-19,BGW-001,BGW-001-C2,174.2,43.0,0.1119,217.2,19.8,71.6,57.3,7474.0,20.96,0.115,374.7
2023-05-20,BGW-001,BGW-001-C2,181.3,49.6,0.123,230.9,21.5,67.8,57.5,7655.3,20.96,0.115,423.4
2023-05-21,BGW-001,BGW-001-C2,176.1,57.4,0.1064,233.4,24.6,73.0,55.8,7831.3,20.96,0.116,608.3
2023-05-22,BGW-001,BGW-001-C2,177.3,62.5,0.0867,239.8,26.1,69.8,58.6,8008.6,20.96,0.117,390.6
2023-05-23,BGW-001,BGW-001-C2,166.7,60.3,0.1093,227.0,26.6,66.3,53.7,8175.4,20.96,0.118,438.5
2023-05-24,BGW-001,BGW-001-C2,161.7,68.3,0.0668,230.1,29.7,71.1,55.8,8337.1,20.96,0.12,635.4
2023-05-25,BGW-001,BGW-001-C2,152.2,58.8,0.0668,210.9,27.9,66.9,51.4,8489.2,20.96,0.122,536.9
2023-05-26,BGW-001,BGW-001-C2,152.2,63.5,0.0867,215.6,29.4,64.6,45.3,8641.4,20.96,0.123,621.3
2023-05-27,BGW-001,BGW-001-C2,143.3,54.5,0.063,197.8,27.6,64.9,49.0,8784.7,20.96,0.125,427.1
2023-05-28,BGW-001,BGW-001-C2,136.4,69.6,0.0663,206.0,33.8,63.4,49.9,8921.1,20.96,0.127,334.1
2023-05-29,BGW-001,BGW-001-C2,147.7,93.3,0.097,241.0,38.7,64.3,45.9,9068.7,20.96,0.128,561.2
2023-05-30,BGW-001,BGW-001-C2,128.1,66.2,0.0715,194.3,34.1,64.9,45.9,9196.8,20.96,0.131,350.0
2023-05-31,BGW-001,BGW-001-C2,128.1,89.5,0.0851,217.5,41.1,64.0,46.2,9324.9,20.96,0.132,652.8
2023-06-01,BGW-001,BGW-001-C2,116.3,63.0,0.0633,179.2,35.1,61.4,51.2,9441.2,20.96,0.135,683.6
2023-06-02,BGW-001,BGW-001-C2,131.7,88.8,0.0763,220.5,40.3,63.8,48.0,9572.9,20.96,0.136,572.1
2023-06-03,BGW-001,BGW-001-C2,132.5,89.2,0.0853,221.7,40.3,62.5,48.5,9705.4,20.96,0.137,520.3
2023-06-04,BGW-001,BGW-001-C2,100.1,68.8,0.0413,168.9,40.7,60.7,41.1,9805.5,20.96,0.14,379.3
2023-06-05,BGW-001,BGW-001-C2,124.2,83.7,0.0502,207.9,40.3,62.2,50.4,9929.7,20.96,0.141,630.9
2023-06-06,BGW-001,BGW-001-C2,107.2,95.3,0.0692,202.6,47.1,61.2,43.6,10036.9,20.96,0.143,347.5
2023-06-07,BGW-001,BGW-001-C2,97.6,70.1,0.0661,167.7,41.8,62.8,43.9,10134.5,20.96,0.146,306.7
2023-06-08,BGW-001,BGW-001-C2,105.2,71.0,0.0702,176.1,40.3,63.5,50.3,10239.7,20.96,0.147,580.0
2023-06-09,BGW-001,BGW-001-C2,98.0,79.1,0.0466,177.1,44.7,61.5,49.6,10337.7,20.96,0.149,593.7
2023-06-10,BGW-001,BGW-001-C2,104.5,84.0,0.0716,188.5,44.6,60.4,47.5,10442.2,20.96,0.151,635.4
2023-06-11,BGW-001,BGW-001-C2,99.2,91.4,0.0602,190.6,47.9,58.5,39.6,10541.5,20.96,0.153,492.9
2023-06-12,BGW-001,BGW-001-C2,88.6,77.2,0.0541,165.8,46.5,62.6,44.1,10630.1,20.96,0.155,359.5
2023-06-13,BGW-001,BGW-001-C2,88.3,84.0,0.0447,172.3,48.8,59.5,43.8,10718.4,20.96,0.157,403.6
2023-06-14,BGW-001,BGW-001-C2,82.7,74.6,0.0332,157.3,47.4,57.6,44.4,10801.1,20.96,0.159,644.8
2023-06-15,BGW-001,BGW-001-C2,77.0,70.7,0.0401,147.7,47.9,58.5,48.4,10878.1,20.96,0.161,624.5
2023-06-16,BGW-001,BGW-001-C2,70.5,80.3,0.0473,150.7,53.2,58.5,41.1,10948.6,20.96,0.164,540.3
2023-06-17,BGW-001,BGW-001-C2,85.2,104.4,0.055,189.6,55.0,57.7,39.9,11033.8,20.96,0.166,497.5
2023-06-18,BGW-001,BGW-001-C2,78.8,96.3,0.0415,175.1,55.0,59.8,42.4,11112.6,20.96,0.168,380.2
2023-06-19,BGW-001,BGW-001-C2,80.3,84.1,0.0528,164.4,51.2,59.0,44.6,11192.9,20.96,0.169,656.8
2023-06-20,BGW-001,BGW-001-C2,81.2,87.7,0.0337,168.9,51.9,60.1,48.2,11274.1,20.96,0.171,443.9
2023-06-21,BGW-001,BGW-001-C2,82.6,84.3,0.0557,167.0,50.5,56.7,38.1,11356.7,20.96,0.173,613.9
2023-06-22,BGW-001,BGW-001-C2,83.8,95.1,0.0456,178.9,53.1,55.3,42.5,11440.5,20.96,0.174,478.7
2023-06-23,BGW-001,BGW-001-C2,51.5,53.9,0.0247,105.3,51.1,58.4,46.7,11492.0,20.96,0.177,566.0
2023-06-24,BGW-001,BGW-001-C2,73.2,84.4,0.0432,157.6,53.5,56.1,36.9,11565.2,20.96,0.179,417.5
2023-06-25,BGW-001,BGW-001-C2,54.4,70.9,0.0253,125.2,56.6,57.6,40.7,11619.6,20.96,0.181,619.2
2023-06-26,BGW-001,BGW-001-C2,62.6,77.0,0.0332,139.6,55.2,54.2,40.6,11682.2,20.96,0.183,467.8
2023-06-27,BGW-001,BGW-001-C2,46.9,73.8,0.0276,120.7,61.2,57.9,38.9,11729.1,20.96,0.186,631.2
2023-06-28,BGW-001,BGW-001-C2,62.4,91.8,0.0348,154.2,59.5,58.2,44.5,11791.5,20.96,0.188,468.0
2023-06-29,BGW-001,BGW-001-C2,48.3,58.2,0.0258,106.5,54.7,52.8,36.5,11839.7,20.96,0.191,455.2
2023-06-30,BGW-001,BGW-001-C2,51.6,73.7,0.0338,125.3,58.8,55.0,44.0,11891.3,20.96,0.193,648.5
2023-07-01,BGW-001,BGW-001-C2,52.5,69.3,0.0329,121.8,56.9,58.8,39.6,11943.9,20.96,0.195,540.2
2023-07-02,BGW-001,BGW-001-C2,38.4,51.4,0.0234,89.8,57.2,56.9,44.4,11982.3,20.96,0.198,495.9
2023-07-03,BGW-001,BGW-001-C2,48.3,72.7,0.0323,121.0,60.1,58.4,38.9,12030.6,20.96,0.2,616.6
2023-07-04,BGW-001,BGW-001-C2,41.7,69.1,0.0292,110.8,62.4,57.9,43.8,12072.3,20.96,0.203,633.4
2023-07-05,BGW-001,BGW-001-C2,51.9,81.0,0.0288,132.9,61.0,55.2,44.4,12124.2,20.96,0.205,622.3
2023-07-06,BGW-001,BGW-001-C2,38.9,68.8,0.0199,107.6,63.9,51.9,39.6,12163.0,20.96,0.207,486.5
2023-07-07,BGW-001,BGW-001-C2,44.2,66.9,0.0289,111.1,60.2,53.9,41.6,12207.2,20.96,0.21,318.7
2023-07-08,BGW-001,BGW-001-C2,44.6,70.0,0.0254,114.6,61.1,56.9,46.4,12251.8,20.96,0.212,380.2
2023-07-09,BGW-001,BGW-001-C2,41.0,67.6,0.0178,108.6,62.2,55.8,36.3,12292.8,20.96,0.214,331.1
2023-07-10,BGW-001,BGW-001-C2,28.2,49.2,0.0192,77.4,63.6,57.3,40.9,12321.0,20.96,0.217,592.6
2023-07-11,BGW-001,BGW-001-C2,44.0,78.4,0.0249,122.5,64.0,53.1,37.7,12365.0,20.96,0.219,506.6
2023-07-12,BGW-001,BGW-001-C2,34.0,62.1,0.019,96.2,64.6,55.6,39.3,12399.1,20.96,0.222,513.9
2023-07-13,BGW-001,BGW-001-C2,28.6,61.1,0.0152,89.7,68.1,55.3,42.3,12427.7,20.96,0.225,455.1
2023-07-14,BGW-001,BGW-001-C2,43.3,59.3,0.028,102.6,57.8,54.9,40.0,12471.0,20.96,0.227,351.2
2023-07-15,BGW-001,BGW-001-C2,16.7,29.1,0.0111,45.8,63.6,55.4,36.6,12487.7,20.96,0.23,445.1
2023-07-16,BGW-001,BGW-001-C2,42.9,85.1,0.0178,128.0,66.5,54.7,36.7,12530.6,20.96,0.232,308.8
2023-07-17,BGW-001,BGW-001-C2,29.9,53.6,0.0207,83.5,64.2,50.8,39.7,12560.5,20.96,0.235,604.4
2023-07-18,BGW-001,BGW-001-C2,30.1,57.0,0.0124,87.0,65.4,50.9,32.7,12590.6,20.96,0.237,543.1
2023-07-19,BGW-001,BGW-001-C2,21.5,33.2,0.0108,54.7,60.8,51.3,33.7,12612.1,20.96,0.24,676.3
2023-07-20,BGW-001,BGW-001-C2,38.2,70.9,0.0255,109.1,65.0,53.4,41.0,12650.2,20.96,0.242,620.0
2023-07-21,BGW-001,BGW-001-C2,35.8,96.7,0.0227,132.5,73.0,54.8,38.8,12686.1,20.96,0.244,673.9
2023-07-22,BGW-001,BGW-001-C2,21.9,37.4,0.0131,59.3,63.0,54.3,41.2,12708.0,20.96,0.247,487.4
2023-07-23,BGW-001,BGW-001-C2,28.7,61.7,0.0174,90.4,68.3,52.7,40.0,12736.7,20.96,0.25,430.0
2023-07-24,BGW-001,BGW-001-C2,26.8,53.3,0.0173,80.1,66.6,54.6,42.0,12763.4,20.96,0.252,640.2
2023-07-25,BGW-001,BGW-001-C2,28.7,67.7,0.0191,96.4,70.2,51.0,34.4,12792.1,20.96,0.255,423.4
2023-07-26,BGW-001,BGW-001-C2,24.3,47.1,0.0143,71.4,65.9,52.0,38.3,12816.4,20.96,0.257,440.6
2023-07-27,BGW-001,BGW-001-C2,25.7,57.7,0.0128,83.5,69.2,52.7,39.5,12842.2,20.96,0.26,408.9
2023-07-28,BGW-001,BGW-001-C2,28.3,62.7,0.0196,91.0,68.9,51.8,41.1,12870.4,20.96,0.262,623.8
2023-07-29,BGW-001,BGW-001-C2,18.7,37.2,0.0097,55.9,66.6,53.5,33.7,12889.1,20.96,0.265,498.2
2023-07-30,BGW-001,BGW-001-C2,15.0,34.4,0.0081,49.4,69.6,54.1,40.4,12904.1,20.96,0.268,617.4
2023-07-31,BGW-001,BGW-001-C2,19.9,36.4,0.0096,56.3,64.6,53.3,41.1,12924.0,20.96,0.27,439.5
2023-08-01,BGW-001,BGW-001-C2,27.2,79.3,0.0186,106.5,74.4,46.9,33.4,12951.2,20.96,0.273,542.4
2023-08-02,BGW-001,BGW-001-C2,15.0,29.7,0.0088,44.7,66.4,52.6,42.2,12966.2,20.96,0.276,653.7
2023-08-03,BGW-001,BGW-001-C2,25.4,51.9,0.0103,77.3,67.2,53.3,39.8,12991.6,20.96,0.278,588.4
2023-08-04,BGW-001,BGW-001-C2,15.3,30.3,0.0081,45.6,66.4,49.3,32.0,13007.0,20.96,0.281,439.7
2023-08-05,BGW-001,BGW-001-C2,26.8,53.9,0.012,80.7,66.8,51.6,33.4,13033.8,20.96,0.283,533.2
2023-09-01,BGW-001,BGW-001-C3,182.7,39.3,0.0985,222.0,17.7,70.6,52.3,13216.5,12.89,0.071,474.4
2023-09-02,BGW-001,BGW-001-C3,190.9,49.5,0.1095,240.4,20.6,70.3,50.5,13407.4,12.89,0.069,485.0
2023-09-03,BGW-001,BGW-001-C3,184.6,55.6,0.1109,240.3,23.2,70.3,54.0,13592.0,12.89,0.069,399.4
2023-09-04,BGW-001,BGW-001-C3,175.0,55.4,0.1134,230.4,24.0,69.1,53.9,13767.0,12.89,0.07,674.2
2023-09-05,BGW-001,BGW-001-C3,157.4,47.9,0.0965,205.3,23.4,68.2,54.5,13924.4,12.89,0.072,394.7
2023-09-06,BGW-001,BGW-001-C3,161.8,55.9,0.0947,217.7,25.7,69.4,56.5,14086.2,12.89,0.074,534.7
2023-09-07,BGW-001,BGW-001-C3,146.9,78.2,0.0946,225.1,34.7,69.4,51.2,14233.1,12.89,0.075,563.1
2023-09-08,BGW-001,BGW-001-C3,162.7,80.0,0.1023,242.8,33.0,66.4,53.7,14395.8,12.89,0.076,509.7
2023-09-09,BGW-001,BGW-001-C3,151.5,79.1,0.0694,230.7,34.3,66.8,56.4,14547.4,12.89,0.077,521.0
2023-09-10,BGW-001,BGW-001-C3,131.0,56.3,0.0606,187.3,30.1,67.4,53.6,14678.3,12.89,0.078,356.3
2023-09-11,BGW-001,BGW-001-C3,143.4,79.7,0.0808,223.1,35.7,64.1,53.4,14821.8,12.89,0.079,647.0
2023-09-12,BGW-001,BGW-001-C3,129.1,67.9,0.0783,197.0,34.5,68.8,48.9,14950.9,12.89,0.081,464.1
2023-09-13,BGW-001,BGW-001-C3,129.7,61.6,0.0707,191.4,32.2,65.6,55.2,15080.6,12.89,0.082,434.4
2023-09-14,BGW-001,BGW-001-C3,140.2,61.0,0.0975,201.2,30.3,63.1,48.1,15220.8,12.89,0.083,528.8
2023-09-15,BGW-001,BGW-001-C3,123.7,81.0,0.0773,204.7,39.6,65.1,51.3,15344.5,12.89,0.084,406.3
2023-09-16,BGW-001,BGW-001-C3,130.6,106.1,0.0688,236.6,44.8,62.8,43.8,15475.1,12.89,0.085,575.8
2023-09-17,BGW-001,BGW-001-C3,113.9,85.1,0.0685,199.0,42.8,64.8,47.7,15588.9,12.89,0.086,493.6
2023-09-18,BGW-001,BGW-001-C3,111.9,78.5,0.0691,190.3,41.2,61.8,42.5,15700.8,12.89,0.087,461.2
2023-09-19,BGW-001,BGW-001-C3,112.9,72.0,0.0603,184.9,38.9,61.7,44.2,15813.7,12.89,0.088,322.2
2023-09-20,BGW-001,BGW-001-C3,110.0,99.6,0.066,209.5,47.5,62.5,44.9,15923.6,12.89,0.089,564.8
2023-09-21,BGW-001,BGW-001-C3,103.9,83.3,0.0431,187.2,44.5,60.9,45.3,16027.5,12.89,0.09,658.0
2023-09-22,BGW-001,BGW-001-C3,99.9,101.1,0.0534,201.0,50.3,61.1,50.3,16127.4,12.89,0.092,631.4
2023-09-23,BGW-001,BGW-001-C3,115.2,106.6,0.071,221.8,48.1,62.3,48.8,16242.6,12.89,0.092,547.0
2023-09-24,BGW-001,BGW-001-C3,94.9,83.8,0.0533,178.7,46.9,59.5,41.3,16337.5,12.89,0.094,317.9
2023-09-25,BGW-001,BGW-001-C3,81.8,62.6,0.0494,144.4,43.3,61.1,42.9,16419.3,12.89,0.095,470.4
2023-09-26,BGW-001,BGW-001-C3,91.6,99.0,0.0621,190.6,51.9,59.5,45.7,16510.9,12.89,0.096,372.1
2023-09-27,BGW-001,BGW-001-C3,88.4,70.5,0.0398,158.9,44.4,59.7,40.7,16599.3,12.89,0.098,440.9
2023-09-28,BGW-001,BGW-001-C3,90.5,73.2,0.0613,163.7,44.7,62.2,50.5,16689.7,12.89,0.099,553.0
2023-09-29,BGW-001,BGW-001-C3,82.0,80.7,0.0567,162.7,49.6,62.2,48.1,16771.7,12.89,0.1,563.1
2023-09-30,BGW-001,BGW-001-C3,75.3,78.9,0.0439,154.3,51.2,60.5,42.0,16847.1,12.89,0.101,373.6
2023-10-01,BGW-001,BGW-001-C3,82.8,99.4,0.05,182.2,54.6,59.8,42.5,16929.9,12.89,0.103,362.8
2023-10-02,BGW-001,BGW-001-C3,94.3,107.9,0.0625,202.2,53.4,57.1,39.1,17024.2,12.89,0.103,431.1
2023-10-03,BGW-001,BGW-001-C3,75.7,106.4,0.0506,182.1,58.4,59.2,44.6,17099.9,12.89,0.105,394.1
2023-10-04,BGW-001,BGW-001-C3,63.3,94.1,0.0354,157.3,59.8,54.6,42.2,17163.1,12.89,0.106,504.4
2023-10-05,BGW-001,BGW-001-C3,67.1,85.8,0.0336,152.9,56.1,58.3,47.2,17230.2,12.89,0.108,410.2
2023-10-06,BGW-001,BGW-001-C3,74.0,84.1,0.0479,158.0,53.2,56.7,39.9,17304.2,12.89,0.109,413.0
2023-10-07,BGW-001,BGW-001-C3,64.6,89.7,0.0375,154.3,58.1,58.9,40.7,17368.8,12.89,0.11,694.6
2023-10-08,BGW-001,BGW-001-C3,55.3,67.5,0.0353,122.8,55.0,56.8,37.3,17424.1,12.89,0.112,446.6
2023-10-09,BGW-001,BGW-001-C3,53.6,71.6,0.0316,125.2,57.2,57.7,46.7,17477.7,12.89,0.113,473.4
2023-10-10,BGW-001,BGW-001-C3,77.6,111.0,0.0519,188.6,58.9,55.1,38.9,17555.2,12.89,0.114,324.1
2023-10-11,BGW-001,BGW-001-C3,68.5,112.0,0.0362,180.5,62.1,54.8,38.4,17623.7,12.89,0.115,538.2
2023-10-12,BGW-001,BGW-001-C3,61.8,107.4,0.0407,169.2,63.5,56.3,46.0,17685.5,12.89,0.116,443.6
