timestamp,well_id,css_cycle_id,spm,stroke_length_in,vfd_frequency_Hz,rod_load_min_kN,rod_load_max_kN,pump_fillage_pct,pump_efficiency_pct,polished_rod_load_kN,motor_power_kW,reading_type
2023-03-13,BGW-001,BGW-001-C1,4.59,139.5,54.5,11.71,17.88,62.2,61.2,14.22,24.8,automated_daily
2023-03-14,BGW-001,BGW-001-C1,5.74,155.2,35.9,13.05,24.2,67.8,64.9,19.64,33.2,automated_daily
2023-03-15,BGW-001,BGW-001-C1,6.29,127.4,57.8,12.48,20.98,75.7,71.7,17.24,31.2,automated_daily
2023-03-16,BGW-001,BGW-001-C1,5.57,118.3,41.3,9.04,20.73,64.9,58.8,15.34,17.2,automated_daily
2023-03-17,BGW-001,BGW-001-C1,6.63,110.6,43.7,13.74,23.23,74.3,67.8,17.17,21.6,automated_daily
2023-03-18,BGW-001,BGW-001-C1,6.93,148.1,49.7,9.61,19.12,73.2,72.8,13.29,25.4,automated_daily
2023-03-19,BGW-001,BGW-001-C1,5.2,107.0,43.6,13.15,24.83,72.6,71.3,20.48,31.9,automated_daily
2023-03-20,BGW-001,BGW-001-C1,6.72,102.2,51.2,9.59,20.09,67.9,63.7,15.42,23.0,automated_daily
2023-03-21,BGW-001,BGW-001-C1,7.49,130.6,38.8,11.33,18.65,71.3,64.3,14.27,17.6,automated_daily
2023-03-22,BGW-001,BGW-001-C1,6.59,114.1,50.7,10.78,19.67,76.5,72.1,14.72,29.2,automated_daily
2023-03-23,BGW-001,BGW-001-C1,6.67,131.0,51.6,9.58,18.83,75.7,72.0,15.45,16.2,automated_daily
2023-03-24,BGW-001,BGW-001-C1,4.53,124.1,44.3,11.8,23.72,70.8,63.9,16.46,34.0,automated_daily
2023-03-25,BGW-001,BGW-001-C1,5.35,117.4,36.8,13.08,24.45,74.6,69.8,18.6,29.3,automated_daily
2023-03-26,BGW-001,BGW-001-C1,4.95,165.0,52.3,10.13,16.9,74.6,68.2,14.26,25.9,automated_daily
2023-03-27,BGW-001,BGW-001-C1,6.39,149.0,57.9,12.99,20.72,77.1,70.2,17.3,15.9,automated_daily
2023-03-28,BGW-001,BGW-001-C1,6.0,134.6,45.3,8.38,15.46,66.7,60.6,10.75,27.6,automated_daily
2023-03-29,BGW-001,BGW-001-C1,5.16,116.2,44.6,13.28,24.93,66.4,63.3,19.86,27.0,automated_daily
2023-03-30,BGW-001,BGW-001-C1,5.98,127.8,51.4,9.83,21.19,67.4,64.0,14.72,33.5,automated_daily
2023-03-31,BGW-001,BGW-001-C1,4.75,107.2,52.9,11.37,20.58,64.5,63.8,15.73,22.9,automated_daily
2023-04-01,BGW-001,BGW-001-C1,5.63,132.2,53.3,11.81,21.48,64.9,60.4,15.66,27.1,automated_daily
2023-04-02,BGW-001,BGW-001-C1,6.64,128.6,49.5,13.18,21.42,71.9,71.1,17.62,22.3,automated_daily
2023-04-03,BGW-001,BGW-001-C1,5.39,126.3,48.0,13.06,23.38,68.2,64.1,18.45,32.0,automated_daily
2023-04-04,BGW-001,BGW-001-C1,6.28,99.1,42.7,12.57,23.32,66.3,59.2,19.29,16.7,automated_daily
2023-04-05,BGW-001,BGW-001-C1,5.23,122.8,48.2,11.88,18.86,68.5,67.0,16.22,30.1,automated_daily
2023-04-06,BGW-001,BGW-001-C1,5.0,127.1,41.2,10.22,21.16,70.3,67.6,16.04,19.6,automated_daily
2023-04-07,BGW-001,BGW-001-C1,7.2,146.2,46.6,11.37,18.89,64.5,61.3,14.6,31.5,automated_daily
2023-04-08,BGW-001,BGW-001-C1,5.35,150.9,37.3,9.22,15.86,78.4,76.5,13.35,33.0,automated_daily
2023-04-09,BGW-001,BGW-001-C1,5.57,103.2,36.6,9.32,16.13,62.3,59.5,11.83,18.6,automated_daily
2023-04-10,BGW-001,BGW-001-C1,7.33,96.9,52.6,11.96,21.47,68.9,63.4,16.61,33.5,automated_daily
2023-04-11,BGW-001,BGW-001-C1,5.92,143.0,57.7,10.92,22.78,71.0,65.7,17.64,31.4,automated_daily
2023-04-12,BGW-001,BGW-001-C1,6.07,151.6,35.9,13.6,24.54,74.5,69.4,18.52,20.9,automated_daily
2023-04-13,BGW-001,BGW-001-C1,5.27,144.4,56.9,12.09,20.42,67.4,59.6,15.95,22.9,automated_daily
2023-04-14,BGW-001,BGW-001-C1,5.72,107.2,50.5,12.19,20.29,70.8,63.4,17.58,26.7,automated_daily
2023-04-15,BGW-001,BGW-001-C1,4.55,142.1,55.3,11.0,17.14,69.9,68.7,12.66,27.6,automated_daily
2023-04-16,BGW-001,BGW-001-C1,4.81,132.1,56.7,10.63,17.53,73.1,68.5,13.68,17.3,automated_daily
2023-04-17,BGW-001,BGW-001-C1,6.2,120.5,57.4,12.28,19.16,64.8,57.8,15.54,24.9,automated_daily
2023-04-18,BGW-001,BGW-001-C1,6.45,160.7,36.0,10.25,21.86,66.1,63.0,15.67,17.0,automated_daily
2023-04-19,BGW-001,BGW-001-C1,6.6,104.3,40.5,11.38,21.5,70.7,69.4,17.37,26.2,automated_daily
2023-04-20,BGW-001,BGW-001-C1,5.17,162.2,57.0,9.93,21.14,64.1,59.0,14.48,34.3,automated_daily
2023-04-21,BGW-001,BGW-001-C1,5.9,106.2,48.3,10.39,20.26,59.2,58.5,14.19,34.3,automated_daily
2023-05-18,BGW-001,BGW-001-C2,6.4,153.7,48.9,13.61,22.68,90.8,88.6,19.78,24.8,automated_daily
2023-05-19,BGW-001,BGW-001-C2,6.86,140.5,44.3,10.53,18.76,94.5,90.9,14.44,21.6,automated_daily
2023-05-20,BGW-001,BGW-001-C2,7.29,133.6,52.8,13.58,20.73,98.0,95.0,18.23,23.8,automated_daily
2023-05-21,BGW-001,BGW-001-C2,6.18,128.5,39.8,10.35,16.52,96.0,91.7,13.55,17.2,automated_daily
2023-05-22,BGW-001,BGW-001-C2,6.64,113.8,51.5,12.89,21.89,85.5,84.4,20.74,16.4,automated_daily
2023-05-23,BGW-001,BGW-001-C2,6.78,125.0,41.7,12.26,21.66,93.0,91.8,17.06,21.7,automated_daily
2023-05-24,BGW-001,BGW-001-C2,6.99,115.9,41.4,10.39,21.22,90.0,89.0,15.23,28.2,automated_daily
2023-05-25,BGW-001,BGW-001-C2,4.67,150.9,48.1,11.35,18.84,93.6,89.3,13.85,23.3,automated_daily
2023-05-26,BGW-001,BGW-001-C2,4.65,125.9,56.4,9.24,20.85,84.6,81.2,15.72,16.9,automated_daily
2023-05-27,BGW-001,BGW-001-C2,7.26,163.6,49.1,8.71,17.45,86.8,83.5,13.96,16.5,automated_daily
2023-05-28,BGW-001,BGW-001-C2,5.62,146.7,44.9,8.08,14.2,88.3,82.8,11.6,18.2,automated_daily
2023-05-29,BGW-001,BGW-001-C2,6.49,107.1,42.2,13.84,22.29,79.4,77.5,18.46,19.1,automated_daily
2023-05-30,BGW-001,BGW-001-C2,6.88,153.7,50.4,12.16,20.09,82.6,75.6,16.44,20.1,automated_daily
2023-05-31,BGW-001,BGW-001-C2,7.38,132.5,47.5,8.7,18.66,83.1,82.9,13.24,23.4,automated_daily
2023-06-01,BGW-001,BGW-001-C2,7.41,166.1,55.0,9.74,16.01,87.1,83.7,11.85,28.1,automated_daily
2023-06-02,BGW-001,BGW-001-C2,7.17,122.9,44.4,12.55,22.09,95.7,93.7,18.0,26.3,automated_daily
2023-06-03,BGW-001,BGW-001-C2,5.9,162.1,40.3,10.49,18.15,68.2,63.9,15.25,21.2,automated_daily
2023-06-04,BGW-001,BGW-001-C2,7.01,114.7,54.3,13.93,25.65,82.6,77.8,19.33,17.4,automated_daily
2023-06-05,BGW-001,BGW-001-C2,6.3,123.8,52.5,12.73,19.81,82.6,75.4,16.03,20.3,automated_daily
2023-06-06,BGW-001,BGW-001-C2,5.05,111.8,59.4,13.47,24.35,90.6,89.2,18.81,19.7,automated_daily
2023-06-07,BGW-001,BGW-001-C2,7.41,108.0,53.7,8.31,17.57,89.8,89.2,13.84,19.6,automated_daily
2023-06-08,BGW-001,BGW-001-C2,6.42,142.9,42.4,12.34,22.43,88.9,85.2,18.04,32.3,automated_daily
2023-06-09,BGW-001,BGW-001-C2,7.49,131.2,35.8,9.38,16.56,75.9,73.5,13.49,28.4,automated_daily
2023-06-10,BGW-001,BGW-001-C2,6.45,166.0,36.2,8.09,18.08,80.1,75.7,11.68,32.1,automated_daily
2023-06-11,BGW-001,BGW-001-C2,6.22,163.1,46.1,11.48,17.9,78.6,75.8,15.21,26.4,automated_daily
2023-06-12,BGW-001,BGW-001-C2,7.35,142.0,35.1,13.0,20.98,90.6,84.9,16.78,30.2,automated_daily
2023-06-13,BGW-001,BGW-001-C2,4.74,135.2,48.5,9.72,17.77,82.6,77.2,13.13,15.6,automated_daily
2023-06-14,BGW-001,BGW-001-C2,6.38,114.0,59.0,13.39,25.18,80.4,76.3,20.44,18.5,automated_daily
2023-06-15,BGW-001,BGW-001-C2,7.17,149.3,47.8,10.31,20.53,75.9,75.8,15.05,28.6,automated_daily
2023-06-16,BGW-001,BGW-001-C2,5.85,149.7,37.4,9.4,16.27,78.3,75.6,12.1,22.5,automated_daily
2023-06-17,BGW-001,BGW-001-C2,5.81,131.3,53.8,8.85,16.95,71.4,71.4,13.18,27.1,automated_daily
2023-06-18,BGW-001,BGW-001-C2,5.42,124.9,40.2,8.86,20.16,77.5,72.9,15.87,32.6,automated_daily
2023-06-19,BGW-001,BGW-001-C2,5.04,147.4,53.7,10.48,20.18,74.0,70.1,14.25,28.4,automated_daily
2023-06-20,BGW-001,BGW-001-C2,5.48,125.2,50.4,13.11,22.8,67.2,61.4,17.63,26.7,automated_daily
2023-06-21,BGW-001,BGW-001-C2,5.89,145.7,39.5,13.41,21.91,85.0,79.6,19.61,29.6,automated_daily
2023-06-22,BGW-001,BGW-001-C2,4.87,162.6,51.5,10.83,20.89,73.9,71.8,16.16,23.2,automated_daily
2023-06-23,BGW-001,BGW-001-C2,5.32,152.9,57.7,13.88,24.54,74.7,69.1,18.87,17.1,automated_daily
2023-06-24,BGW-001,BGW-001-C2,6.19,100.7,52.3,8.89,18.47,73.6,69.8,13.68,19.6,automated_daily
2023-06-25,BGW-001,BGW-001-C2,6.15,129.1,39.0,11.68,23.11,70.6,64.7,18.68,19.8,automated_daily
2023-06-26,BGW-001,BGW-001-C2,6.53,166.5,37.6,11.28,23.2,76.4,75.5,15.68,24.2,automated_daily
2023-06-27,BGW-001,BGW-001-C2,5.78,156.6,57.7,9.0,19.48,88.8,88.6,14.6,26.0,automated_daily
2023-06-28,BGW-001,BGW-001-C2,5.6,115.5,39.3,9.44,16.22,67.7,65.6,11.26,20.8,automated_daily
2023-06-29,BGW-001,BGW-001-C2,5.24,131.4,39.2,8.1,17.85,76.5,73.8,12.33,23.2,automated_daily
2023-06-30,BGW-001,BGW-001-C2,5.7,102.2,42.0,11.46,23.42,70.2,69.1,15.92,24.7,automated_daily
2023-07-01,BGW-001,BGW-001-C2,4.83,153.2,53.1,9.84,20.48,70.2,65.6,14.52,20.7,automated_daily
2023-07-02,BGW-001,BGW-001-C2,5.47,149.7,51.5,12.92,21.98,78.8,76.0,18.02,30.9,automated_daily
2023-07-03,BGW-001,BGW-001-C2,5.4,144.2,54.1,8.41,18.06,66.7,65.6,13.31,29.6,automated_daily
2023-07-04,BGW-001,BGW-001-C2,4.69,136.3,41.0,10.97,22.91,59.1,58.4,18.35,18.3,automated_daily
2023-07-05,BGW-001,BGW-001-C2,6.06,128.8,51.0,13.85,24.68,72.6,64.9,20.44,34.9,automated_daily
2023-07-06,BGW-001,BGW-001-C2,4.6,127.4,41.2,12.57,19.09,68.1,63.7,16.38,19.1,automated_daily
2023-07-07,BGW-001,BGW-001-C2,6.05,119.4,53.7,13.12,21.77,71.6,70.1,18.64,22.2,automated_daily
2023-07-08,BGW-001,BGW-001-C2,4.81,104.9,58.6,13.68,22.73,70.1,64.6,17.2,26.1,automated_daily
2023-07-09,BGW-001,BGW-001-C2,7.4,108.4,38.5,12.52,22.74,74.6,73.1,18.18,28.7,automated_daily
2023-07-10,BGW-001,BGW-001-C2,7.18,156.3,47.2,12.0,21.86,79.1,78.4,17.55,23.8,automated_daily
2023-07-11,BGW-001,BGW-001-C2,7.16,100.1,56.1,11.67,17.77,68.4,65.3,14.6,22.2,automated_daily
2023-07-12,BGW-001,BGW-001-C2,6.2,138.5,47.0,10.89,22.31,62.8,59.5,18.24,23.4,automated_daily
2023-07-13,BGW-001,BGW-001-C2,5.93,148.7,41.0,11.5,22.69,72.3,68.1,17.2,28.6,automated_daily
2023-07-14,BGW-001,BGW-001-C2,5.55,141.1,45.4,10.35,19.2,82.5,79.2,14.56,29.8,automated_daily
2023-07-15,BGW-001,BGW-001-C2,4.91,114.8,50.3,11.11,21.45,75.7,71.8,17.27,16.5,automated_daily
2023-07-16,BGW-001,BGW-001-C2,5.61,118.1,58.6,13.18,20.28,78.9,78.4,14.57,18.4,automated_daily
2023-07-17,BGW-001,BGW-001-C2,5.33,125.6,36.1,11.23,18.36,64.4,61.0,14.06,20.1,automated_daily
2023-07-18,BGW-001,BGW-001-C2,5.11,139.9,42.2,12.09,22.71,69.5,62.5,16.91,19.8,automated_daily
2023-07-19,BGW-001,BGW-001-C2,4.65,147.9,39.7,12.8,24.59,69.0,67.8,18.26,25.5,automated_daily
2023-07-20,BGW-001,BGW-001-C2,5.78,111.6,57.2,12.09,19.01,65.7,65.7,15.72,15.3,automated_daily
2023-07-21,BGW-001,BGW-001-C2,6.09,163.0,54.3,13.37,23.83,68.8,64.2,18.04,29.6,automated_daily
2023-07-22,BGW-001,BGW-001-C2,5.86,136.2,40.8,10.43,17.18,62.6,59.3,12.69,32.2,automated_daily
2023-07-23,BGW-001,BGW-001-C2,7.23,165.7,36.2,11.58,19.38,66.0,59.2,18.08,16.6,automated_daily
2023-07-24,BGW-001,BGW-001-C2,6.52,101.7,44.5,13.23,19.41,73.7,68.1,17.13,21.4,automated_daily
2023-07-25,BGW-001,BGW-001-C2,4.81,165.8,51.9,10.26,21.26,60.5,59.7,15.74,19.0,automated_daily
2023-07-26,BGW-001,BGW-001-C2,5.73,142.3,40.8,12.66,23.47,66.5,63.2,16.18,27.6,automated_daily
2023-07-27,BGW-001,BGW-001-C2,4.94,140.3,47.8,12.7,20.45,67.8,66.0,16.83,29.0,automated_daily
2023-07-28,BGW-001,BGW-001-C2,5.83,104.9,46.7,13.77,20.45,69.4,64.9,17.27,21.5,automated_daily
2023-07-29,BGW-001,BGW-001-C2,6.2,101.8,46.3,8.47,16.71,66.4,60.2,12.55,24.1,automated_daily
2023-07-30,BGW-001,BGW-001-C2,7.06,104.7,48.8,8.18,14.74,66.9,65.1,13.85,15.8,automated_daily
2023-07-31,BGW-001,BGW-001-C2,5.78,156.4,40.5,10.03,20.39,69.0,66.0,15.26,31.2,automated_daily
2023-08-01,BGW-001,BGW-001-C2,7.01,102.2,50.2,11.61,21.25,67.6,62.9,14.38,31.9,automated_daily
2023-08-02,BGW-001,BGW-001-C2,4.81,101.3,39.0,11.94,20.44,64.2,61.4,15.6,33.0,automated_daily
2023-08-03,BGW-001,BGW-001-C2,5.88,115.5,46.5,10.47,16.51,70.5,64.4,12.33,19.5,automated_daily
2023-08-04,BGW-001,BGW-001-C2,5.84,118.6,40.8,8.35,17.37,69.1,66.1,12.02,31.2,automated_daily
2023-08-05,BGW-001,BGW-001-C2,5.97,156.4,47.0,9.01,18.12,70.0,67.5,11.91,34.4,automated_daily
2023-09-01,BGW-001,BGW-001-C3,5.15,105.3,57.1,8.09,19.53,98.0,95.0,13.85,20.9,automated_daily
2023-09-02,BGW-001,BGW-001-C3,4.7,107.2,49.7,11.42,19.11,94.5,89.1,14.91,34.6,automated_daily
2023-09-03,BGW-001,BGW-001-C3,5.62,166.1,58.6,13.56,23.21,88.6,83.7,17.74,24.6,automated_daily
2023-09-04,BGW-001,BGW-001-C3,7.46,156.6,36.4,8.67,19.96,96.8,94.4,15.89,17.4,automated_daily
2023-09-05,BGW-001,BGW-001-C3,6.74,166.5,47.6,8.26,15.67,93.3,91.6,12.4,23.4,automated_daily
2023-09-06,BGW-001,BGW-001-C3,7.08,128.5,35.6,13.84,19.9,86.1,79.3,17.63,21.0,automated_daily
2023-09-07,BGW-001,BGW-001-C3,5.57,145.6,49.3,9.54,18.71,93.5,90.3,13.64,32.8,automated_daily
2023-09-08,BGW-001,BGW-001-C3,7.4,123.0,37.2,8.29,19.29,98.0,94.9,12.47,24.2,automated_daily
2023-09-09,BGW-001,BGW-001-C3,6.09,138.8,46.3,13.03,22.89,89.7,86.8,16.31,21.4,automated_daily
2023-09-10,BGW-001,BGW-001-C3,5.34,144.0,45.4,8.61,18.39,83.0,79.9,13.48,25.8,automated_daily
2023-09-11,BGW-001,BGW-001-C3,5.11,146.4,46.7,10.8,16.81,90.0,87.6,13.36,32.7,automated_daily
2023-09-12,BGW-001,BGW-001-C3,6.12,129.9,52.0,12.79,20.11,82.0,76.3,18.28,15.6,automated_daily
2023-09-13,BGW-001,BGW-001-C3,4.64,116.2,38.2,8.51,15.4,89.1,88.8,10.47,31.5,automated_daily
2023-09-14,BGW-001,BGW-001-C3,4.69,123.0,45.7,9.03,17.27,85.2,82.5,15.23,28.9,automated_daily
2023-09-15,BGW-001,BGW-001-C3,4.72,100.0,57.2,12.17,22.11,91.3,84.0,16.68,16.5,automated_daily
2023-09-16,BGW-001,BGW-001-C3,4.99,144.0,45.0,8.17,14.5,81.6,78.5,9.5,18.4,automated_daily
2023-09-17,BGW-001,BGW-001-C3,5.63,153.9,54.6,12.1,20.65,78.2,74.7,18.37,17.7,automated_daily
2023-09-18,BGW-001,BGW-001-C3,7.08,131.7,35.1,11.18,18.73,85.0,81.6,15.56,31.2,automated_daily
2023-09-19,BGW-001,BGW-001-C3,7.19,112.9,51.5,13.34,21.19,77.9,71.5,16.52,27.9,automated_daily
2023-09-20,BGW-001,BGW-001-C3,5.28,145.0,56.7,8.14,16.1,85.7,83.8,11.12,30.4,automated_daily
2023-09-21,BGW-001,BGW-001-C3,6.05,139.8,47.9,12.13,18.77,82.4,82.2,14.52,24.6,automated_daily
2023-09-22,BGW-001,BGW-001-C3,5.86,142.8,38.0,11.14,17.8,84.1,77.2,13.27,31.2,automated_daily
2023-09-23,BGW-001,BGW-001-C3,6.95,120.6,38.5,13.35,24.66,89.0,81.9,17.15,26.9,automated_daily
2023-09-24,BGW-001,BGW-001-C3,6.89,103.9,54.6,12.87,22.33,79.9,76.8,17.1,33.3,automated_daily
2023-09-25,BGW-001,BGW-001-C3,5.43,144.3,55.8,11.91,21.46,83.0,82.3,16.03,32.8,automated_daily
2023-09-26,BGW-001,BGW-001-C3,5.64,121.7,44.1,10.43,21.07,70.2,66.6,17.73,23.8,automated_daily
2023-09-27,BGW-001,BGW-001-C3,5.04,104.8,45.2,13.85,24.05,92.9,88.0,19.09,20.9,automated_daily
2023-09-28,BGW-001,BGW-001-C3,5.78,147.2,55.3,11.95,19.35,86.6,84.3,16.04,34.4,automated_daily
2023-09-29,BGW-001,BGW-001-C3,5.71,160.3,38.8,8.25,15.06,70.9,63.8,11.17,16.4,automated_daily
2023-09-30,BGW-001,BGW-001-C3,5.75,131.7,40.9,12.83,24.59,84.1,81.8,19.41,31.4,automated_daily
2023-10-01,BGW-001,BGW-001-C3,4.68,156.1,49.6,8.23,18.75,77.3,75.4,14.32,27.5,automated_daily
2023-10-02,BGW-001,BGW-001-C3,4.57,160.1,38.7,12.98,23.11,83.1,82.5,17.68,34.2,automated_daily
2023-10-03,BGW-001,BGW-001-C3,4.94,108.5,38.8,12.54,19.5,78.4,77.9,16.28,34.3,automated_daily
2023-10-04,BGW-001,BGW-001-C3,6.67,106.4,50.5,11.49,22.92,79.9,74.2,15.99,23.1,automated_daily
2023-10-05,BGW-001,BGW-001-C3,5.22,165.9,46.4,13.21,19.35,76.5,69.5,16.07,28.1,automated_daily
2023-10-06,BGW-001,BGW-001-C3,7.13,160.8,40.0,13.64,24.93,62.2,60.6,19.14,21.7,automated_daily
2023-10-07,BGW-001,BGW-001-C3,7.17,159.0,39.4,11.31,20.51,84.6,81.0,15.23,27.9,automated_daily
2023-10-08,BGW-001,BGW-001-C3,5.54,160.0,43.1,10.66,22.5,73.2,66.3,15.86,21.1,automated_daily
2023-10-09,BGW-001,BGW-001-C3,6.43,125.6,35.9,10.2,19.25,74.9,67.3,13.12,17.2,automated_daily
2023-10-10,BGW-001,BGW-001-C3,6.07,128.5,35.1,13.61,25.03,77.3,69.9,18.8,31.7,automated_daily
2023-10-11,BGW-001,BGW-001-C3,6.04,101.6,39.2,9.43,20.81,65.9,60.6,16.48,26.3,automated_daily
2023-10-12,BGW-001,BGW-001-C3,5.93,104.0,57.5,9.67,16.85,81.8,77.7,14.08,25.2,automated_daily
2023-10-13,BGW-001,BGW-001-C3,6.73,98.5,50.1,11.7,18.95,71.2,67.6,15.52,20.7,automated_daily
2023-10-14,BGW-001,BGW-001-C3,5.35,99.4,51.9,12.45,23.63,67.6,60.6,19.15,23.1,automated_daily
2023-10-15,BGW-001,BGW-001-C3,6.88,130.2,59.9,11.83,19.68,78.7,72.4,16.06,33.7,automated_daily
2023-10-16,BGW-001,BGW-001-C3,6.56,141.0,37.4,12.33,20.2,67.8,64.8,16.97,31.2,automated_daily
2023-10-17,BGW-001,BGW-001-C3,4.9,154.5,57.4,8.58,20.56,75.6,75.6,14.16,26.2,automated_daily
2023-10-18,BGW-001,BGW-001-C3,5.51,122.0,56.0,12.26,21.86,73.8,68.6,18.07,16.0,automated_daily
2023-10-19,BGW-001,BGW-001-C3,5.04,108.7,56.1,10.37,19.31,79.4,78.7,16.83,15.2,automated_daily
2023-10-20,BGW-001,BGW-001-C3,6.94,105.4,54.8,10.1,20.76,63.7,63.3,16.08,24.6,automated_daily
2023-10-21,BGW-001,BGW-001-C3,7.01,113.6,51.5,8.91,19.68,71.5,64.0,13.8,16.6,automated_daily
2023-10-22,BGW-001,BGW-001-C3,7.14,142.7,46.5,12.61,20.41,69.7,61.8,15.13,32.7,automated_daily
2023-10-23,BGW-001,BGW-001-C3,7.3,100.6,57.7,9.49,17.65,66.8,63.8,14.66,23.8,automated_daily
2023-10-24,BGW-001,BGW-001-C3,4.95,121.9,43.7,12.05,21.53,71.4,65.7,16.18,28.3,automated_daily
2023-10-25,BGW-001,BGW-001-C3,4.72,160.4,37.3,13.86,20.05,62.8,57.0,16.56,33.1,automated_daily
